year,subject,prior_band,n_students
2023,Art and Design (Critical Studies),6-<7,33
2023,Art and Design (Critical Studies),7-<8,21
2023,Art and Design (Critical Studies),8-<9,18
2023,Art and Design (Critical Studies),9>=,1
2023,Art and Design (Critical Studies),Unknown prior,12
2023,Art and Design (Critical Studies),All,120
2023,Art and Design (Fine Art),<1,1
2023,Art and Design (Fine Art),1-<2,3
2023,Art and Design (Fine Art),2-<3,31
2023,Art and Design (Fine Art),3-<4,314
2023,Art and Design (Fine Art),4-<5,1432
2023,Art and Design (Fine Art),5-<6,2956
2023,Art and Design (Fine Art),6-<7,3473
2023,Art and Design (Fine Art),7-<8,2971
2023,Art and Design (Fine Art),8-<9,1806
2023,Art and Design (Fine Art),9>=,254
2023,Art and Design (Fine Art),Unknown prior,321
2023,Art and Design (Fine Art),All,13562
2023,History of Art,2-<3,1
2023,History of Art,3-<4,2
2023,History of Art,4-<5,13
2023,History of Art,5-<6,75
2023,History of Art,6-<7,130
2023,History of Art,7-<8,196
2023,History of Art,8-<9,180
2023,History of Art,9>=,47
2023,History of Art,Unknown prior,34
2023,History of Art,All,678
2023,Geography,<1,2
2023,Geography,2-<3,5
2023,Geography,3-<4,144
2023,Geography,4-<5,2049
2023,Geography,5-<6,7002
2023,Geography,6-<7,10204
2023,Geography,7-<8,8836
2023,Geography,8-<9,5302
2023,Geography,9>=,518
2023,Geography,Unknown prior,429
2023,Geography,All,34491
2023,History,<1,4
2023,History,1-<2,2
2023,History,2-<3,15
2023,History,3-<4,266
2023,History,4-<5,2794
2023,History,5-<6,8397
2023,History,6-<7,11706
2023,History,7-<8,10927
2023,History,8-<9,7806
2023,History,9>=,1123
2023,History,Unknown prior,623
2023,History,All,43663
2023,Economics,<1,4
2023,Economics,2-<3,6
2023,Economics,3-<4,145
2023,Economics,4-<5,1793
2023,Economics,5-<6,6503
2023,Economics,6-<7,10050
2023,Economics,7-<8,9488
2023,Economics,8-<9,6882
2023,Economics,9>=,1143
2023,Economics,Unknown prior,1212
2023,Economics,All,37226
2023,Religious Studies,2-<3,9
2023,Religious Studies,3-<4,151
2023,Religious Studies,4-<5,1296
2023,Religious Studies,5-<6,3284
2023,Religious Studies,6-<7,3865
2023,Religious Studies,7-<8,3190
2023,Religious Studies,8-<9,2150
2023,Religious Studies,9>=,415
2023,Religious Studies,Unknown prior,183
2023,Religious Studies,All,14543
2023,Law,1-<2,1
2023,Law,2-<3,6
2023,Law,3-<4,189
2023,Law,4-<5,1676
2023,Law,5-<6,4263
2023,Law,6-<7,4269
2023,Law,7-<8,2396
2023,Law,8-<9,744
2023,Law,9>=,26
2023,Law,Unknown prior,144
2023,Law,All,13714
2023,Logic / Philosophy,2-<3,1
2023,Logic / Philosophy,3-<4,14
2023,Logic / Philosophy,4-<5,196
2023,Logic / Philosophy,5-<6,659
2023,Logic / Philosophy,6-<7,956
2023,Logic / Philosophy,7-<8,889
2023,Logic / Philosophy,8-<9,739
2023,Logic / Philosophy,9>=,112
2023,Logic / Philosophy,Unknown prior,73
2023,Logic / Philosophy,All,3639
2023,Government and Politics,<1,2
2023,Government and Politics,1-<2,1
2023,Government and Politics,2-<3,9
2023,Government and Politics,3-<4,179
2023,Government and Politics,4-<5,1552
2023,Government and Politics,5-<6,4111
2023,Government and Politics,6-<7,5370
2023,Government and Politics,7-<8,4699
2023,Government and Politics,8-<9,3297
2023,Government and Politics,9>=,465
2023,Government and Politics,Unknown prior,427
2023,Government and Politics,All,20112
2023,Psychology,<1,1
2023,Psychology,1-<2,3
2023,Psychology,2-<3,30
2023,Psychology,3-<4,509
2023,Psychology,4-<5,5316
2023,Psychology,5-<6,17819
2023,Psychology,6-<7,23711
2023,Psychology,7-<8,18105
2023,Psychology,8-<9,8464
2023,Psychology,9>=,559
2023,Psychology,Unknown prior,1185
2023,Psychology,All,75702
2023,Sociology,<1,1
2023,Sociology,1-<2,4
2023,Sociology,2-<3,60
2023,Sociology,3-<4,984
2023,Sociology,4-<5,7162
2023,Sociology,5-<6,14454
2023,Sociology,6-<7,12588
2023,Sociology,7-<8,6655
2023,Sociology,8-<9,1976
2023,Sociology,9>=,48
2023,Sociology,Unknown prior,465
2023,Sociology,All,44397
2023,English Language and Literature,2-<3,3
2023,English Language and Literature,3-<4,79
2023,English Language and Literature,4-<5,778
2023,English Language and Literature,5-<6,1808
2023,English Language and Literature,6-<7,1897
2023,English Language and Literature,7-<8,1356
2023,English Language and Literature,8-<9,534
2023,English Language and Literature,9>=,33
2023,English Language and Literature,Unknown prior,95
2023,English Language and Literature,All,6583
2023,English Language,<1,1
2023,English Language,2-<3,2
2023,English Language,3-<4,172
2023,English Language,4-<5,1462
2023,English Language,5-<6,3717
2023,English Language,6-<7,3863
2023,English Language,7-<8,2446
2023,English Language,8-<9,1012
2023,English Language,9>=,47
2023,English Language,Unknown prior,150
2023,English Language,All,12872
2023,English Literature,<1,1
2023,English Literature,2-<3,5
2023,English Literature,3-<4,188
2023,English Literature,4-<5,1914
2023,English Literature,5-<6,6110
2023,English Literature,6-<7,8591
2023,English Literature,7-<8,8480
2023,English Literature,8-<9,6361
2023,English Literature,9>=,968
2023,English Literature,Unknown prior,574
2023,English Literature,All,33192
2023,Drama and Theatre Studies,2-<3,8
2023,Drama and Theatre Studies,3-<4,125
2023,Drama and Theatre Studies,4-<5,828
2023,Drama and Theatre Studies,5-<6,1747
2023,Drama and Theatre Studies,6-<7,2177
2023,Drama and Theatre Studies,7-<8,1929
2023,Drama and Theatre Studies,8-<9,1146
2023,Drama and Theatre Studies,9>=,172
2023,Drama and Theatre Studies,Unknown prior,164
2023,Drama and Theatre Studies,All,8296
2023,Media/Film/Tv Studies,1-<2,2
2023,Media/Film/Tv Studies,2-<3,26
2023,Media/Film/Tv Studies,3-<4,545
2023,Media/Film/Tv Studies,4-<5,3038
2023,Media/Film/Tv Studies,5-<6,4670
2023,Media/Film/Tv Studies,6-<7,3641
2023,Media/Film/Tv Studies,7-<8,1666
2023,Media/Film/Tv Studies,8-<9,425
2023,Media/Film/Tv Studies,9>=,15
2023,Media/Film/Tv Studies,Unknown prior,159
2023,Media/Film/Tv Studies,All,14187
2023,Film Studies,2-<3,8
2023,Film Studies,3-<4,242
2023,Film Studies,4-<5,1404
2023,Film Studies,5-<6,2166
2023,Film Studies,6-<7,1749
2023,Film Studies,7-<8,953
2023,Film Studies,8-<9,311
2023,Film Studies,9>=,11
2023,Film Studies,Unknown prior,96
2023,Film Studies,All,6940
2023,French,<1,1
2023,French,1-<2,1
2023,French,2-<3,2
2023,French,3-<4,16
2023,French,4-<5,146
2023,French,5-<6,564
2023,French,6-<7,1098
2023,French,7-<8,1706
2023,French,8-<9,2061
2023,French,9>=,498
2023,French,Unknown prior,215
2023,French,All,6308
2023,German,2-<3,2
2023,German,3-<4,6
2023,German,4-<5,30
2023,German,5-<6,158
2023,German,6-<7,336
2023,German,7-<8,559
2023,German,8-<9,765
2023,German,9>=,138
2023,German,Unknown prior,125
2023,German,All,2119
2023,Italian,2-<3,1
2023,Italian,3-<4,21
2023,Italian,4-<5,78
2023,Italian,5-<6,141
2023,Italian,6-<7,143
2023,Italian,7-<8,124
2023,Italian,8-<9,117
2023,Italian,9>=,41
2023,Italian,Unknown prior,50
2023,Italian,All,716
2023,Modern Greek,1-<2,1
2023,Modern Greek,3-<4,4
2023,Modern Greek,4-<5,8
2023,Modern Greek,5-<6,11
2023,Modern Greek,6-<7,15
2023,Modern Greek,7-<8,16
2023,Modern Greek,8-<9,9
2023,Modern Greek,Unknown prior,3
2023,Modern Greek,All,67
2023,Portuguese,1-<2,1
2023,Portuguese,2-<3,1
2023,Portuguese,3-<4,10
2023,Portuguese,4-<5,40
2023,Portuguese,5-<6,49
2023,Portuguese,6-<7,71
2023,Portuguese,7-<8,49
2023,Portuguese,8-<9,11
2023,Portuguese,9>=,1
2023,Portuguese,Unknown prior,11
2023,Portuguese,All,244
2023,Spanish,2-<3,3
2023,Spanish,3-<4,45
2023,Spanish,4-<5,295
2023,Spanish,5-<6,882
2023,Spanish,6-<7,1505
2023,Spanish,7-<8,1831
2023,Spanish,8-<9,1973
2023,Spanish,9>=,418
2023,Spanish,Unknown prior,258
2023,Spanish,All,7210
2023,Arabic,2-<3,4
2023,Arabic,3-<4,23
2023,Arabic,4-<5,58
2023,Arabic,5-<6,103
2023,Arabic,6-<7,87
2023,Arabic,7-<8,40
2023,Arabic,8-<9,30
2023,Arabic,9>=,2
2023,Arabic,Unknown prior,34
2023,Arabic,All,381
2023,Chinese,1-<2,1
2023,Chinese,2-<3,4
2023,Chinese,3-<4,16
2023,Chinese,4-<5,65
2023,Chinese,5-<6,97
2023,Chinese,6-<7,138
2023,Chinese,7-<8,146
2023,Chinese,8-<9,114
2023,Chinese,9>=,34
2023,Chinese,Unknown prior,450
2023,Chinese,All,1065
2023,Japanese,3-<4,3
2023,Japanese,4-<5,2
2023,Japanese,5-<6,10
2023,Japanese,6-<7,21
2023,Japanese,7-<8,20
2023,Japanese,8-<9,38
2023,Japanese,9>=,5
2023,Japanese,Unknown prior,24
2023,Japanese,All,123
2023,Modern Hebrew,4-<5,1
2023,Modern Hebrew,5-<6,7
2023,Modern Hebrew,6-<7,13
2023,Modern Hebrew,7-<8,4
2023,Modern Hebrew,8-<9,9
2023,Modern Hebrew,9>=,1
2023,Modern Hebrew,Unknown prior,1
2023,Modern Hebrew,All,36
2023,Punjabi,3-<4,3
2023,Punjabi,4-<5,4
2023,Punjabi,5-<6,16
2023,Punjabi,6-<7,20
2023,Punjabi,7-<8,9
2023,Punjabi,8-<9,6
2023,Punjabi,All,58
2023,Polish,1-<2,1
2023,Polish,2-<3,3
2023,Polish,3-<4,10
2023,Polish,4-<5,51
2023,Polish,5-<6,103
2023,Polish,6-<7,145
2023,Polish,7-<8,109
2023,Polish,8-<9,58
2023,Polish,9>=,3
2023,Polish,Unknown prior,9
2023,Polish,All,492
2023,Russian,1-<2,1
2023,Russian,2-<3,1
2023,Russian,3-<4,14
2023,Russian,4-<5,23
2023,Russian,5-<6,65
2023,Russian,6-<7,77
2023,Russian,7-<8,119
2023,Russian,8-<9,127
2023,Russian,9>=,52
2023,Russian,Unknown prior,142
2023,Russian,All,621
2023,Turkish,2-<3,7
2023,Turkish,3-<4,24
2023,Turkish,4-<5,49
2023,Turkish,5-<6,89
2023,Turkish,6-<7,83
2023,Turkish,7-<8,53
2023,Turkish,8-<9,19
2023,Turkish,9>=,1
2023,Turkish,Unknown prior,25
2023,Turkish,All,350
2023,Urdu,3-<4,10
2023,Urdu,4-<5,35
2023,Urdu,5-<6,42
2023,Urdu,6-<7,41
2023,Urdu,7-<8,29
2023,Urdu,8-<9,13
2023,Urdu,9>=,3
2023,Urdu,Unknown prior,9
2023,Urdu,All,182
2023,Persian,2-<3,4
2023,Persian,3-<4,5
2023,Persian,4-<5,14
2023,Persian,5-<6,11
2023,Persian,6-<7,13
2023,Persian,7-<8,4
2023,Persian,8-<9,6
2023,Persian,Unknown prior,32
2023,Persian,All,89
2023,Ancient History,3-<4,4
2023,Ancient History,4-<5,59
2023,Ancient History,5-<6,183
2023,Ancient History,6-<7,216
2023,Ancient History,7-<8,182
2023,Ancient History,8-<9,121
2023,Ancient History,9>=,17
2023,Ancient History,Unknown prior,12
2023,Ancient History,All,794
2023,Classical Civilisation,<1,1
2023,Classical Civilisation,3-<4,24
2023,Classical Civilisation,4-<5,203
2023,Classical Civilisation,5-<6,528
2023,Classical Civilisation,6-<7,937
2023,Classical Civilisation,7-<8,987
2023,Classical Civilisation,8-<9,805
2023,Classical Civilisation,9>=,126
2023,Classical Civilisation,Unknown prior,81
2023,Classical Civilisation,All,3692
2023,Classical Greek,6-<7,2
2023,Classical Greek,7-<8,8
2023,Classical Greek,8-<9,82
2023,Classical Greek,9>=,64
2023,Classical Greek,Unknown prior,3
2023,Classical Greek,All,159
2023,Latin,4-<5,2
2023,Latin,5-<6,9
2023,Latin,6-<7,23
2023,Latin,7-<8,104
2023,Latin,8-<9,540
2023,Latin,9>=,249
2023,Latin,Unknown prior,11
2023,Latin,All,938
2023,Other Classical Languages,5-<6,1
2023,Other Classical Languages,6-<7,7
2023,Other Classical Languages,7-<8,5
2023,Other Classical Languages,8-<9,11
2023,Other Classical Languages,9>=,1
2023,Other Classical Languages,Unknown prior,2
2023,Other Classical Languages,All,27
2023,Music,3-<4,8
2023,Music,4-<5,130
2023,Music,5-<6,403
2023,Music,6-<7,810
2023,Music,7-<8,973
2023,Music,8-<9,1117
2023,Music,9>=,98
2023,Music,Unknown prior,82
2023,Music,All,3621
2023,Music Technology,2-<3,2
2023,Music Technology,3-<4,15
2023,Music Technology,4-<5,146
2023,Music Technology,5-<6,311
2023,Music Technology,6-<7,319
2023,Music Technology,7-<8,281
2023,Music Technology,8-<9,149
2023,Music Technology,9>=,4
2023,Music Technology,Unknown prior,32
2023,Music Technology,All,1259
2023,Physical Education / Sports Studies,3-<4,49
2023,Physical Education / Sports Studies,4-<5,721
2023,Physical Education / Sports Studies,5-<6,2779
2023,Physical Education / Sports Studies,6-<7,4004
2023,Physical Education / Sports Studies,7-<8,2951
2023,Physical Education / Sports Studies,8-<9,1192
2023,Physical Education / Sports Studies,9>=,77
2023,Physical Education / Sports Studies,Unknown prior,153
2023,Physical Education / Sports Studies,All,11926
2023,Dance,3-<4,10
2023,Dance,4-<5,83
2023,Dance,5-<6,252
2023,Dance,6-<7,296
2023,Dance,7-<8,205
2023,Dance,8-<9,95
2023,Dance,9>=,5
2023,Dance,Unknown prior,8
2023,Dance,All,954
2023,Accounting / Finance,2-<3,1
2023,Accounting / Finance,3-<4,13
2023,Accounting / Finance,4-<5,233
2023,Accounting / Finance,5-<6,686
2023,Accounting / Finance,6-<7,696
2023,Accounting / Finance,7-<8,370
2023,Accounting / Finance,8-<9,98
2023,Accounting / Finance,9>=,2
2023,Accounting / Finance,Unknown prior,32
2023,Accounting / Finance,All,2131
2023,Design and Technology (Textiles Technology),3-<4,11
2023,Design and Technology (Textiles Technology),4-<5,64
2023,Design and Technology (Textiles Technology),5-<6,108
2023,Design and Technology (Textiles Technology),6-<7,162
2023,Design and Technology (Textiles Technology),7-<8,103
2023,Design and Technology (Textiles Technology),8-<9,58
2023,Design and Technology (Textiles Technology),9>=,6
2023,Design and Technology (Textiles Technology),Unknown prior,5
2023,Design and Technology (Textiles Technology),All,517
2023,Design and Technology (Engineering),1-<2,1
2023,Design and Technology (Engineering),2-<3,1
2023,Design and Technology (Engineering),3-<4,10
2023,Design and Technology (Engineering),4-<5,54
2023,Design and Technology (Engineering),5-<6,168
2023,Design and Technology (Engineering),6-<7,159
2023,Design and Technology (Engineering),7-<8,83
2023,Design and Technology (Engineering),8-<9,56
2023,Design and Technology (Engineering),9>=,10
2023,Design and Technology (Engineering),Unknown prior,7
2023,Design and Technology (Engineering),All,549
2023,Design and Technology (Product Design),<1,1
2023,Design and Technology (Product Design),2-<3,10
2023,Design and Technology (Product Design),3-<4,199
2023,Design and Technology (Product Design),4-<5,1086
2023,Design and Technology (Product Design),5-<6,2109
2023,Design and Technology (Product Design),6-<7,2124
2023,Design and Technology (Product Design),7-<8,1463
2023,Design and Technology (Product Design),8-<9,766
2023,Design and Technology (Product Design),9>=,61
2023,Design and Technology (Product Design),Unknown prior,109
2023,Design and Technology (Product Design),All,7928
2024,Biology,1-<2,1
2024,Biology,2-<3,5
2024,Biology,3-<4,95
2024,Biology,4-<5,1306
2024,Biology,5-<6,7883
2024,Biology,6-<7,17567
2024,Biology,7-<8,19256
2024,Biology,8-<9,15075
2024,Biology,9>=,1377
2024,Biology,Unknown prior,1882
2024,Biology,All,64447
2024,Chemistry,<1,2
2024,Chemistry,1-<2,1
2024,Chemistry,2-<3,4
2024,Chemistry,3-<4,63
2024,Chemistry,4-<5,750
2024,Chemistry,5-<6,4724
2024,Chemistry,6-<7,11971
2024,Chemistry,7-<8,16424
2024,Chemistry,8-<9,16647
2024,Chemistry,9>=,1773
2024,Chemistry,Unknown prior,2010
2024,Chemistry,All,54369
2024,Physics,<1,2
2024,Physics,2-<3,3
2024,Physics,3-<4,54
2024,Physics,4-<5,720
2024,Physics,5-<6,4198
2024,Physics,6-<7,9348
2024,Physics,7-<8,11119
2024,Physics,8-<9,10316
2024,Physics,9>=,1057
2024,Physics,Unknown prior,1610
2024,Physics,All,38427
2024,Electronics,3-<4,5
2024,Electronics,4-<5,68
2024,Electronics,5-<6,162
2024,Electronics,6-<7,167
2024,Electronics,7-<8,103
2024,Electronics,8-<9,59
2024,Electronics,9>=,6
2024,Electronics,Unknown prior,10
2024,Electronics,All,580
2024,Environmental Science,3-<4,10
2024,Environmental Science,4-<5,185
2024,Environmental Science,5-<6,573
2024,Environmental Science,6-<7,561
2024,Environmental Science,7-<8,353
2024,Environmental Science,8-<9,124
2024,Environmental Science,9>=,2
2024,Environmental Science,Unknown prior,38
2024,Environmental Science,All,1846
2024,Geology,3-<4,7
2024,Geology,4-<5,75
2024,Geology,5-<6,253
2024,Geology,6-<7,306
2024,Geology,7-<8,227
2024,Geology,8-<9,120
2024,Geology,9>=,12
2024,Geology,Unknown prior,14
2024,Geology,All,1014
2024,Mathematics,<1,4
2024,Mathematics,1-<2,1
2024,Mathematics,2-<3,11
2024,Mathematics,3-<4,140
2024,Mathematics,4-<5,1751
2024,Mathematics,5-<6,9506
2024,Mathematics,6-<7,21871
2024,Mathematics,7-<8,27652
2024,Mathematics,8-<9,26065
2024,Mathematics,9>=,2849
2024,Mathematics,Unknown prior,3932
2024,Mathematics,All,93782
2024,Mathematics (Statistics),2-<3,1
2024,Mathematics (Statistics),3-<4,7
2024,Mathematics (Statistics),4-<5,124
2024,Mathematics (Statistics),5-<6,322
2024,Mathematics (Statistics),6-<7,293
2024,Mathematics (Statistics),7-<8,102
2024,Mathematics (Statistics),8-<9,23
2024,Mathematics (Statistics),Unknown prior,17
2024,Mathematics (Statistics),All,889
2024,Mathematics (Further),<1,1
2024,Mathematics (Further),2-<3,4
2024,Mathematics (Further),3-<4,12
2024,Mathematics (Further),4-<5,62
2024,Mathematics (Further),5-<6,494
2024,Mathematics (Further),6-<7,1727
2024,Mathematics (Further),7-<8,4274
2024,Mathematics (Further),8-<9,7868
2024,Mathematics (Further),9>=,1108
2024,Mathematics (Further),Unknown prior,886
2024,Mathematics (Further),All,16436
2024,Computer Studies / Computing,<1,1
2024,Computer Studies / Computing,1-<2,1
2024,Computer Studies / Computing,2-<3,6
2024,Computer Studies / Computing,3-<4,89
2024,Computer Studies / Computing,4-<5,961
2024,Computer Studies / Computing,5-<6,3477
2024,Computer Studies / Computing,6-<7,5319
2024,Computer Studies / Computing,7-<8,4782
2024,Computer Studies / Computing,8-<9,3286
2024,Computer Studies / Computing,9>=,234
2024,Computer Studies / Computing,Unknown prior,681
2024,Computer Studies / Computing,All,18837
2024,Business Studies:Single,1-<2,2
2024,Business Studies:Single,2-<3,30
2024,Business Studies:Single,3-<4,665
2024,Business Studies:Single,4-<5,5592
2024,Business Studies:Single,5-<6,13752
2024,Business Studies:Single,6-<7,11846
2024,Business Studies:Single,7-<8,5568
2024,Business Studies:Single,8-<9,1451
2024,Business Studies:Single,9>=,75
2024,Business Studies:Single,Unknown prior,1102
2024,Business Studies:Single,All,40083
2024,Art and Design,1-<2,1
2024,Art and Design,2-<3,13
2024,Art and Design,3-<4,178
2024,Art and Design,4-<5,751
2024,Art and Design,5-<6,1340
2024,Art and Design,6-<7,1403
2024,Art and Design,7-<8,991
2024,Art and Design,8-<9,553
2024,Art and Design,9>=,48
2024,Art and Design,Unknown prior,126
2024,Art and Design,All,5404
2024,Art and Design (Graphics),<1,1
2024,Art and Design (Graphics),2-<3,21
2024,Art and Design (Graphics),3-<4,214
2024,Art and Design (Graphics),4-<5,999
2024,Art and Design (Graphics),5-<6,1606
2024,Art and Design (Graphics),6-<7,1296
2024,Art and Design (Graphics),7-<8,690
2024,Art and Design (Graphics),8-<9,230
2024,Art and Design (Graphics),9>=,15
2024,Art and Design (Graphics),Unknown prior,132
2024,Art and Design (Graphics),All,5204
2024,Art and Design (Photography),<1,2
2024,Art and Design (Photography),1-<2,5
2024,Art and Design (Photography),2-<3,60
2024,Art and Design (Photography),3-<4,663
2024,Art and Design (Photography),4-<5,2348
2024,Art and Design (Photography),5-<6,3109
2024,Art and Design (Photography),6-<7,2131
2024,Art and Design (Photography),7-<8,823
2024,Art and Design (Photography),8-<9,219
2024,Art and Design (Photography),9>=,25
2024,Art and Design (Photography),Unknown prior,282
2024,Art and Design (Photography),All,9667
2024,Art and Design (Textiles),1-<2,1
2024,Art and Design (Textiles),2-<3,6
2024,Art and Design (Textiles),3-<4,132
2024,Art and Design (Textiles),4-<5,564
2024,Art and Design (Textiles),5-<6,980
2024,Art and Design (Textiles),6-<7,940
2024,Art and Design (Textiles),7-<8,546
2024,Art and Design (Textiles),8-<9,171
2024,Art and Design (Textiles),9>=,7
2024,Art and Design (Textiles),Unknown prior,109
2024,Art and Design (Textiles),All,3456
2024,Art and Design (3d Studies),1-<2,2
2024,Art and Design (3d Studies),2-<3,9
2024,Art and Design (3d Studies),3-<4,80
2024,Art and Design (3d Studies),4-<5,361
2024,Art and Design (3d Studies),5-<6,586
2024,Art and Design (3d Studies),6-<7,506
2024,Art and Design (3d Studies),7-<8,277
2024,Art and Design (3d Studies),8-<9,101
2024,Art and Design (3d Studies),9>=,9
2024,Art and Design (3d Studies),Unknown prior,43
2024,Art and Design (3d Studies),All,1974
2024,Art and Design (Critical Studies),2-<3,1
2024,Art and Design (Critical Studies),3-<4,9
2024,Art and Design (Critical Studies),4-<5,26
2024,Art and Design (Critical Studies),5-<6,31
2024,Art and Design (Critical Studies),6-<7,34
2024,Art and Design (Critical Studies),7-<8,21
2024,Art and Design (Critical Studies),8-<9,6
2024,Art and Design (Critical Studies),Unknown prior,15
2024,Art and Design (Critical Studies),All,143
2024,Art and Design (Fine Art),<1,1
2024,Art and Design (Fine Art),1-<2,3
2024,Art and Design (Fine Art),2-<3,24
2024,Art and Design (Fine Art),3-<4,338
2024,Art and Design (Fine Art),4-<5,1560
2024,Art and Design (Fine Art),5-<6,3214
2024,Art and Design (Fine Art),6-<7,3596
2024,Art and Design (Fine Art),7-<8,2833
2024,Art and Design (Fine Art),8-<9,1653
2024,Art and Design (Fine Art),9>=,192
2024,Art and Design (Fine Art),Unknown prior,434
2024,Art and Design (Fine Art),All,13848
2024,History of Art,3-<4,6
2024,History of Art,4-<5,25
2024,History of Art,5-<6,82
2024,History of Art,6-<7,170
2024,History of Art,7-<8,201
2024,History of Art,8-<9,169
2024,History of Art,9>=,43
2024,History of Art,Unknown prior,54
2024,History of Art,All,750
2024,Geography,2-<3,7
2024,Geography,3-<4,210
2024,Geography,4-<5,2387
2024,Geography,5-<6,7727
2024,Geography,6-<7,9954
2024,Geography,7-<8,7738
2024,Geography,8-<9,4265
2024,Geography,9>=,323
2024,Geography,Unknown prior,413
2024,Geography,All,33024
2024,History,2-<3,14
2024,History,3-<4,352
2024,History,4-<5,3282
2024,History,5-<6,9360
2024,History,6-<7,11843
2024,History,7-<8,9821
2024,History,8-<9,6373
2024,History,9>=,765
2024,History,Unknown prior,692
2024,History,All,42502
2024,Economics,<1,1
2024,Economics,1-<2,1
2024,Economics,2-<3,10
2024,Economics,3-<4,195
2024,Economics,4-<5,2144
2024,Economics,5-<6,7556
2024,Economics,6-<7,10765
2024,Economics,7-<8,9135
2024,Economics,8-<9,6232
2024,Economics,9>=,756
2024,Economics,Unknown prior,1424
2024,Economics,All,38219
2024,Religious Studies,<1,1
2024,Religious Studies,2-<3,4
2024,Religious Studies,3-<4,187
2024,Religious Studies,4-<5,1566
2024,Religious Studies,5-<6,3511
2024,Religious Studies,6-<7,3804
2024,Religious Studies,7-<8,3060
2024,Religious Studies,8-<9,1736
2024,Religious Studies,9>=,257
2024,Religious Studies,Unknown prior,180
2024,Religious Studies,All,14306
2024,Law,2-<3,6
2024,Law,3-<4,236
2024,Law,4-<5,2018
2024,Law,5-<6,4714
2024,Law,6-<7,4104
2024,Law,7-<8,2002
2024,Law,8-<9,546
2024,Law,9>=,11
2024,Law,Unknown prior,155
2024,Law,All,13792
2024,Logic / Philosophy,2-<3,1
2024,Logic / Philosophy,3-<4,34
2024,Logic / Philosophy,4-<5,235
2024,Logic / Philosophy,5-<6,689
2024,Logic / Philosophy,6-<7,934
2024,Logic / Philosophy,7-<8,852
2024,Logic / Philosophy,8-<9,656
2024,Logic / Philosophy,9>=,94
2024,Logic / Philosophy,Unknown prior,75
2024,Logic / Philosophy,All,3570
2024,Government and Politics,2-<3,5
2024,Government and Politics,3-<4,276
2024,Government and Politics,4-<5,1903
2024,Government and Politics,5-<6,4611
2024,Government and Politics,6-<7,5254
2024,Government and Politics,7-<8,4330
2024,Government and Politics,8-<9,2592
2024,Government and Politics,9>=,319
2024,Government and Politics,Unknown prior,493
2024,Government and Politics,All,19783
2024,Psychology,1-<2,1
2024,Psychology,2-<3,27
2024,Psychology,3-<4,624
2024,Psychology,4-<5,6111
2024,Psychology,5-<6,19711
2024,Psychology,6-<7,23358
2024,Psychology,7-<8,15541
2024,Psychology,8-<9,6590
2024,Psychology,9>=,372
2024,Psychology,Unknown prior,1394
2024,Psychology,All,73729
2024,Sociology,<1,1
2024,Sociology,1-<2,4
2024,Sociology,2-<3,37
2024,Sociology,3-<4,1203
2024,Sociology,4-<5,8006
2024,Sociology,5-<6,14453
2024,Sociology,6-<7,10791
2024,Sociology,7-<8,5061
2024,Sociology,8-<9,1298
2024,Sociology,9>=,38
2024,Sociology,Unknown prior,576
2024,Sociology,All,41468
2024,English Language and Literature,<1,1
2024,English Language and Literature,2-<3,5
2024,English Language and Literature,3-<4,112
2024,English Language and Literature,4-<5,1005
2024,English Language and Literature,5-<6,2075
2024,English Language and Literature,6-<7,2031
2024,English Language and Literature,7-<8,1167
2024,English Language and Literature,8-<9,430
2024,English Language and Literature,9>=,21
2024,English Language and Literature,Unknown prior,93
2024,English Language and Literature,All,6940
2024,English Language,1-<2,1
2024,English Language,2-<3,9
2024,English Language,3-<4,227
2024,English Language,4-<5,1867
2024,English Language,5-<6,4052
2024,English Language,6-<7,3551
2024,English Language,7-<8,2058
2024,English Language,8-<9,726
2024,English Language,9>=,32
2024,English Language,Unknown prior,175
2024,English Language,All,12698
2024,English Literature,2-<3,14
2024,English Literature,3-<4,323
2024,English Literature,4-<5,2806
2024,English Literature,5-<6,7735
2024,English Literature,6-<7,9737
2024,English Literature,7-<8,8370
2024,English Literature,8-<9,5539
2024,English Literature,9>=,695
2024,English Literature,Unknown prior,595
2024,English Literature,All,35814
2024,Drama and Theatre Studies,1-<2,1
2024,Drama and Theatre Studies,2-<3,11
2024,Drama and Theatre Studies,3-<4,133
2024,Drama and Theatre Studies,4-<5,797
2024,Drama and Theatre Studies,5-<6,1808
2024,Drama and Theatre Studies,6-<7,2182
2024,Drama and Theatre Studies,7-<8,1674
2024,Drama and Theatre Studies,8-<9,942
2024,Drama and Theatre Studies,9>=,99
2024,Drama and Theatre Studies,Unknown prior,184
2024,Drama and Theatre Studies,All,7831
2024,Media/Film/Tv Studies,<1,1
2024,Media/Film/Tv Studies,1-<2,1
2024,Media/Film/Tv Studies,2-<3,23
2024,Media/Film/Tv Studies,3-<4,687
2024,Media/Film/Tv Studies,4-<5,3280
2024,Media/Film/Tv Studies,5-<6,4613
2024,Media/Film/Tv Studies,6-<7,3164
2024,Media/Film/Tv Studies,7-<8,1274
2024,Media/Film/Tv Studies,8-<9,273
2024,Media/Film/Tv Studies,9>=,3
2024,Media/Film/Tv Studies,Unknown prior,225
2024,Media/Film/Tv Studies,All,13544
2024,Film Studies,2-<3,20
2024,Film Studies,3-<4,358
