year,subject,prior_band,n_students
2022,Art and Design (Textiles),7-<8,497
2022,Art and Design (Textiles),8-<9,144
2022,Art and Design (Textiles),9>=,13
2022,Art and Design (Textiles),Unknown prior,77
2022,Art and Design (Textiles),All,3106
2022,Art and Design (3d Studies),2-<3,8
2022,Art and Design (3d Studies),3-<4,77
2022,Art and Design (3d Studies),4-<5,347
2022,Art and Design (3d Studies),5-<6,528
2022,Art and Design (3d Studies),6-<7,507
2022,Art and Design (3d Studies),7-<8,257
2022,Art and Design (3d Studies),8-<9,77
2022,Art and Design (3d Studies),9>=,5
2022,Art and Design (3d Studies),Unknown prior,34
2022,Art and Design (3d Studies),All,1840
2022,Art and Design (Critical Studies),3-<4,4
2022,Art and Design (Critical Studies),4-<5,20
2022,Art and Design (Critical Studies),5-<6,34
2022,Art and Design (Critical Studies),6-<7,25
2022,Art and Design (Critical Studies),7-<8,30
2022,Art and Design (Critical Studies),8-<9,5
2022,Art and Design (Critical Studies),Unknown prior,11
2022,Art and Design (Critical Studies),All,129
2022,Art and Design (Fine Art),1-<2,3
2022,Art and Design (Fine Art),2-<3,33
2022,Art and Design (Fine Art),3-<4,346
2022,Art and Design (Fine Art),4-<5,1653
2022,Art and Design (Fine Art),5-<6,3224
2022,Art and Design (Fine Art),6-<7,3686
2022,Art and Design (Fine Art),7-<8,2864
2022,Art and Design (Fine Art),8-<9,1569
2022,Art and Design (Fine Art),9>=,180
2022,Art and Design (Fine Art),Unknown prior,331
2022,Art and Design (Fine Art),All,13889
2022,History of Art,3-<4,1
2022,History of Art,4-<5,14
2022,History of Art,5-<6,81
2022,History of Art,6-<7,121
2022,History of Art,7-<8,175
2022,History of Art,8-<9,151
2022,History of Art,9>=,27
2022,History of Art,Unknown prior,34
2022,History of Art,All,604
2022,Geography,2-<3,6
2022,Geography,3-<4,200
2022,Geography,4-<5,2377
2022,Geography,5-<6,7875
2022,Geography,6-<7,10350
2022,Geography,7-<8,8065
2022,Geography,8-<9,4144
2022,Geography,9>=,356
2022,Geography,Unknown prior,385
2022,Geography,All,33758
2022,History,1-<2,2
2022,History,2-<3,15
2022,History,3-<4,317
2022,History,4-<5,3013
2022,History,5-<6,8991
2022,History,6-<7,11707
2022,History,7-<8,10026
2022,History,8-<9,6506
2022,History,9>=,787
2022,History,Unknown prior,637
2022,History,All,42001
2022,Economics,<1,1
2022,Economics,1-<2,3
2022,Economics,2-<3,10
2022,Economics,3-<4,165
2022,Economics,4-<5,1920
2022,Economics,5-<6,6975
2022,Economics,6-<7,9803
2022,Economics,7-<8,8640
2022,Economics,8-<9,5483
2022,Economics,9>=,719
2022,Economics,Unknown prior,1132
2022,Economics,All,34851
2022,Religious Studies,1-<2,3
2022,Religious Studies,2-<3,10
2022,Religious Studies,3-<4,240
2022,Religious Studies,4-<5,1648
2022,Religious Studies,5-<6,3765
2022,Religious Studies,6-<7,4198
2022,Religious Studies,7-<8,3035
2022,Religious Studies,8-<9,1785
2022,Religious Studies,9>=,273
2022,Religious Studies,Unknown prior,151
2022,Religious Studies,All,15108
2022,Law,1-<2,1
2022,Law,2-<3,8
2022,Law,3-<4,256
2022,Law,4-<5,1975
2022,Law,5-<6,4391
2022,Law,6-<7,4022
2022,Law,7-<8,2020
2022,Law,8-<9,489
2022,Law,9>=,14
2022,Law,Unknown prior,133
2022,Law,All,13309
2022,Logic / Philosophy,1-<2,1
2022,Logic / Philosophy,2-<3,1
2022,Logic / Philosophy,3-<4,34
2022,Logic / Philosophy,4-<5,212
2022,Logic / Philosophy,5-<6,635
2022,Logic / Philosophy,6-<7,854
2022,Logic / Philosophy,7-<8,728
2022,Logic / Philosophy,8-<9,523
2022,Logic / Philosophy,9>=,54
2022,Logic / Philosophy,Unknown prior,53
2022,Logic / Philosophy,All,3095
2022,Government and Politics,1-<2,1
2022,Government and Politics,2-<3,19
2022,Government and Politics,3-<4,226
2022,Government and Politics,4-<5,1771
2022,Government and Politics,5-<6,4290
2022,Government and Politics,6-<7,5022
2022,Government and Politics,7-<8,4143
