year,subject,subj_code,prior_band,Astar,A,B,C,D,E,U
2024,Polish,6070,6-<7,8.0,50.86,28.0,9.14,1.14,2.29,0.57
2024,Polish,6070,7-<8,12.4,64.34,17.05,4.65,1.55,,
2024,Polish,6070,8-<9,35.71,57.14,5.36,1.79,,,
2024,Polish,6070,9>=,75.0,25.0,,,,,
2024,Polish,6070,Unknown prior,58.33,25.0,12.5,,4.17,,
2024,Polish,6070,All,11.27,43.32,24.8,11.92,5.31,2.09,1.29
2024,Russian,6090,2-<3,33.33,66.67,,,,,
2024,Russian,6090,3-<4,50.0,20.0,,30.0,,,
2024,Russian,6090,4-<5,40.74,40.74,14.81,3.7,,,
2024,Russian,6090,5-<6,52.7,35.14,9.46,1.35,1.35,,
2024,Russian,6090,6-<7,51.82,42.73,1.82,1.82,0.91,0.91,
2024,Russian,6090,7-<8,73.02,25.4,1.59,,,,
2024,Russian,6090,8-<9,80.5,17.61,1.26,0.63,,,
2024,Russian,6090,9>=,91.67,8.33,,,,,
2024,Russian,6090,Unknown prior,80.8,18.48,0.72,,,,
2024,Russian,6090,All,71.74,24.6,2.31,0.97,0.24,0.12,
2024,Turkish,6110,2-<3,,,50.0,25.0,25.0,,
2024,Turkish,6110,3-<4,12.5,12.5,25.0,25.0,12.5,6.25,6.25
2024,Turkish,6110,4-<5,12.96,12.96,35.19,25.93,7.41,1.85,3.7
2024,Turkish,6110,5-<6,29.03,24.73,31.18,8.6,5.38,,1.08
2024,Turkish,6110,6-<7,27.27,36.36,27.27,7.95,,1.14,
2024,Turkish,6110,7-<8,71.43,16.33,10.2,2.04,,,
2024,Turkish,6110,8-<9,72.73,27.27,,,,,
2024,Turkish,6110,9>=,100.0,,,,,,
2024,Turkish,6110,Unknown prior,58.06,19.35,12.9,9.68,,,
2024,Turkish,6110,All,35.16,23.34,25.07,10.95,3.46,0.86,1.15
2024,Urdu,6130,3-<4,35.71,21.43,21.43,7.14,,,14.29
2024,Urdu,6130,4-<5,27.27,31.82,18.18,9.09,9.09,4.55,
2024,Urdu,6130,5-<6,19.35,64.52,9.68,,6.45,,
2024,Urdu,6130,6-<7,27.66,42.55,23.4,2.13,4.26,,
2024,Urdu,6130,7-<8,47.5,40.0,10.0,,2.5,,
2024,Urdu,6130,8-<9,63.64,18.18,18.18,,,,
2024,Urdu,6130,Unknown prior,50.0,25.0,12.5,,12.5,,
2024,Urdu,6130,All,34.68,40.46,16.18,2.31,4.62,0.58,1.16
2024,Persian,6150,<1,100.0,,,,,,
2024,Persian,6150,2-<3,25.0,25.0,,50.0,,,
2024,Persian,6150,3-<4,,,50.0,50.0,,,
2024,Persian,6150,4-<5,26.67,26.67,26.67,6.67,13.33,,
2024,Persian,6150,5-<6,33.33,16.67,25.0,8.33,16.67,,
2024,Persian,6150,6-<7,43.75,31.25,6.25,,6.25,,12.5
2024,Persian,6150,7-<8,73.33,26.67,,,,,
2024,Persian,6150,8-<9,100.0,,,,,,
2024,Persian,6150,9>=,100.0,,,,,,
2024,Persian,6150,Unknown prior,54.29,28.57,8.57,5.71,,,2.86
2024,Persian,6150,All,51.82,23.64,10.91,6.36,4.55,,2.73
2024,Ancient History,6510,3-<4,,,10.0,30.0,20.0,20.0,20.0
2024,Ancient History,6510,4-<5,,1.12,19.1,37.08,26.97,13.48,2.25
2024,Ancient History,6510,5-<6,,3.19,21.51,40.64,21.91,9.16,3.59
2024,Ancient History,6510,6-<7,0.79,12.2,39.37,36.22,8.66,2.36,0.39
2024,Ancient History,6510,7-<8,1.11,28.89,50.0,16.67,3.33,,
2024,Ancient History,6510,8-<9,12.12,50.51,32.32,5.05,,,
2024,Ancient History,6510,9>=,20.0,70.0,10.0,,,,
2024,Ancient History,6510,Unknown prior,,37.5,37.5,12.5,12.5,,
2024,Ancient History,6510,All,2.0,16.87,33.07,29.52,12.21,4.77,1.55
2024,Classical Civilisation,6530,2-<3,,,,,100.0,,
2024,Classical Civilisation,6530,3-<4,,,2.78,13.89,41.67,30.56,11.11
2024,Classical Civilisation,6530,4-<5,0.36,1.09,8.0,31.27,36.73,16.36,6.18
2024,Classical Civilisation,6530,5-<6,0.14,3.25,25.61,41.33,22.9,5.56,1.22
2024,Classical Civilisation,6530,6-<7,0.77,11.83,42.88,33.37,8.75,2.02,0.38
2024,Classical Civilisation,6530,7-<8,4.4,31.13,49.25,12.41,2.8,,
2024,Classical Civilisation,6530,8-<9,19.04,50.68,27.12,2.88,0.14,0.14,
2024,Classical Civilisation,6530,9>=,52.38,40.48,7.14,,,,
2024,Classical Civilisation,6530,Unknown prior,6.25,27.08,35.42,22.92,4.17,4.17,
2024,Classical Civilisation,6530,All,6.08,22.28,34.71,22.76,10.25,3.08,0.85
2024,Classical Greek,6550,5-<6,,100.0,,,,,
2024,Classical Greek,6550,6-<7,,100.0,,,,,
2024,Classical Greek,6550,7-<8,14.29,57.14,9.52,19.05,,,
2024,Classical Greek,6550,8-<9,56.57,37.37,6.06,,,,
2024,Classical Greek,6550,9>=,75.86,22.41,1.72,,,,
2024,Classical Greek,6550,Unknown prior,75.0,,25.0,,,,
2024,Classical Greek,6550,All,56.99,35.48,5.38,2.15,,,
2024,Latin,6610,5-<6,,,16.67,50.0,33.33,,
2024,Latin,6610,6-<7,,12.77,21.28,27.66,17.02,14.89,6.38
2024,Latin,6610,7-<8,4.73,24.32,22.97,33.11,9.46,3.38,2.03
2024,Latin,6610,8-<9,28.79,45.72,17.9,6.42,0.78,0.39,
2024,Latin,6610,9>=,48.72,43.59,4.62,2.05,1.03,,
2024,Latin,6610,Unknown prior,33.33,40.0,20.0,,,6.67,
2024,Latin,6610,All,27.57,39.78,16.11,11.03,3.24,1.62,0.65
2024,Other Classical Languages,6650,5-<6,75.0,,,25.0,,,
2024,Other Classical Languages,6650,6-<7,,50.0,50.0,,,,
2024,Other Classical Languages,6650,7-<8,77.78,22.22,,,,,
2024,Other Classical Languages,6650,8-<9,84.62,15.38,,,,,
2024,Other Classical Languages,6650,9>=,100.0,,,,,,
2024,Other Classical Languages,6650,All,75.86,17.24,3.45,3.45,,,
2024,Music,7010,2-<3,,,,,33.33,33.33,33.33
2024,Music,7010,3-<4,,,9.09,13.64,27.27,31.82,18.18
2024,Music,7010,4-<5,0.64,1.91,8.28,26.11,33.12,19.75,10.19
2024,Music,7010,5-<6,0.66,3.72,17.29,35.67,27.13,12.91,2.63
2024,Music,7010,6-<7,0.59,9.0,28.91,35.55,19.79,4.86,1.3
2024,Music,7010,7-<8,5.22,22.59,38.35,22.49,10.14,1.1,0.1
2024,Music,7010,8-<9,20.85,37.05,30.07,9.6,2.33,0.1,
2024,Music,7010,9>=,46.03,31.75,20.63,1.59,,,
2024,Music,7010,Unknown prior,10.2,19.39,26.53,23.47,14.29,5.1,1.02
2024,Music,7010,All,8.58,20.21,29.12,23.26,13.32,4.25,1.25
2024,Music Technology,7040,2-<3,,,,,,66.67,33.33
2024,Music Technology,7040,3-<4,,,,15.38,33.33,23.08,28.21
2024,Music Technology,7040,4-<5,0.73,1.46,5.84,21.9,32.85,24.82,12.41
2024,Music Technology,7040,5-<6,0.34,4.36,14.77,29.87,33.22,13.76,3.69
2024,Music Technology,7040,6-<7,1.39,7.78,29.44,35.83,17.78,7.22,0.56
2024,Music Technology,7040,7-<8,6.78,21.19,40.25,22.03,8.9,0.42,0.42
2024,Music Technology,7040,8-<9,20.47,31.5,32.28,14.17,1.57,,
2024,Music Technology,7040,9>=,25.0,37.5,37.5,,,,
2024,Music Technology,7040,Unknown prior,5.0,10.0,31.67,20.0,23.33,6.67,3.33
2024,Music Technology,7040,All,4.26,11.2,24.92,26.5,20.35,9.23,3.55
2024,Physical Education / Sports Studies,7210,2-<3,,,,,,100.0,
2024,Physical Education / Sports Studies,7210,3-<4,,,,3.95,19.74,31.58,44.74
2024,Physical Education / Sports Studies,7210,4-<5,,0.11,2.23,11.96,33.07,34.97,17.65
2024,Physical Education / Sports Studies,7210,5-<6,0.29,1.69,11.63,31.84,34.13,15.87,4.56
2024,Physical Education / Sports Studies,7210,6-<7,1.56,9.86,31.71,35.05,16.96,4.16,0.69
2024,Physical Education / Sports Studies,7210,7-<8,8.88,26.01,42.03,17.49,4.8,0.56,0.24
2024,Physical Education / Sports Studies,7210,8-<9,34.57,36.97,21.92,5.89,0.33,0.11,0.22
2024,Physical Education / Sports Studies,7210,9>=,43.48,34.78,17.39,2.9,1.45,,
2024,Physical Education / Sports Studies,7210,Unknown prior,4.02,10.92,20.11,22.41,17.82,14.37,10.34
2024,Physical Education / Sports Studies,7210,All,5.54,12.63,25.06,25.77,18.81,8.88,3.31
2024,Dance,7230,3-<4,,,13.33,13.33,46.67,20.0,6.67
2024,Dance,7230,4-<5,0.93,2.78,18.52,42.59,21.3,12.96,0.93
2024,Dance,7230,5-<6,1.5,13.86,31.46,34.08,14.23,4.49,0.37
2024,Dance,7230,6-<7,5.36,25.0,33.21,29.29,5.71,0.71,0.71
2024,Dance,7230,7-<8,15.43,38.89,33.95,11.73,,,
2024,Dance,7230,8-<9,50.0,30.3,15.15,3.03,1.52,,
2024,Dance,7230,9>=,25.0,75.0,,,,,
2024,Dance,7230,Unknown prior,9.09,9.09,27.27,27.27,27.27,,
2024,Dance,7230,All,8.76,21.58,29.24,26.83,9.64,3.4,0.55
2024,Accounting / Finance,7410,2-<3,,,,,,,100.0
2024,Accounting / Finance,7410,3-<4,,,4.55,13.64,13.64,27.27,40.91
2024,Accounting / Finance,7410,4-<5,,1.27,6.65,16.46,30.7,29.75,15.19
2024,Accounting / Finance,7410,5-<6,0.12,5.01,12.47,28.48,32.15,16.38,5.38
2024,Accounting / Finance,7410,6-<7,0.74,14.56,24.07,31.5,19.47,7.73,1.93
2024,Accounting / Finance,7410,7-<8,3.56,35.01,32.05,18.1,9.5,1.48,0.3
2024,Accounting / Finance,7410,8-<9,28.0,40.0,24.0,8.0,,,
2024,Accounting / Finance,7410,9>=,,,50.0,50.0,,,
2024,Accounting / Finance,7410,Unknown prior,2.5,15.0,25.0,15.0,35.0,5.0,2.5
2024,Accounting / Finance,7410,All,1.75,13.0,18.52,25.13,23.64,12.83,5.12
2024,Design and Technology (Textiles Technology),9050,2-<3,,,,,,100.0,
2024,Design and Technology (Textiles Technology),9050,3-<4,,,,7.14,42.86,21.43,28.57
2024,Design and Technology (Textiles Technology),9050,4-<5,,,3.33,18.33,35.0,33.33,10.0
2024,Design and Technology (Textiles Technology),9050,5-<6,,2.68,20.54,31.25,31.25,13.39,0.89
2024,Design and Technology (Textiles Technology),9050,6-<7,2.78,12.5,36.81,34.72,11.11,1.39,0.69
2024,Design and Technology (Textiles Technology),9050,7-<8,11.82,35.45,43.64,7.27,0.91,0.91,
2024,Design and Technology (Textiles Technology),9050,8-<9,41.46,34.15,14.63,9.76,,,
2024,Design and Technology (Textiles Technology),9050,9>=,33.33,66.67,,,,,
2024,Design and Technology (Textiles Technology),9050,Unknown prior,,,33.33,66.67,,,
2024,Design and Technology (Textiles Technology),9050,All,7.17,15.57,27.25,22.75,16.19,8.61,2.46
2024,Design and Technology (Engineering),9070,1-<2,,,,,,,100.0
2024,Design and Technology (Engineering),9070,2-<3,,,,,,33.33,66.67
2024,Design and Technology (Engineering),9070,3-<4,,,,7.69,30.77,46.15,15.38
2024,Design and Technology (Engineering),9070,4-<5,,,3.39,23.73,37.29,28.81,6.78
2024,Design and Technology (Engineering),9070,5-<6,0.67,,11.41,37.58,29.53,13.42,7.38
2024,Design and Technology (Engineering),9070,6-<7,1.47,16.91,33.09,31.62,11.76,5.15,
2024,Design and Technology (Engineering),9070,7-<8,9.41,30.59,36.47,15.29,7.06,,1.18
2024,Design and Technology (Engineering),9070,8-<9,31.58,31.58,26.32,10.53,,,
2024,Design and Technology (Engineering),9070,9>=,69.23,15.38,15.38,,,,
2024,Design and Technology (Engineering),9070,Unknown prior,,10.0,50.0,20.0,10.0,10.0,
2024,Design and Technology (Engineering),9070,All,7.22,13.31,22.24,25.67,17.68,9.89,3.99
2024,Design and Technology (Product Design),9080,1-<2,,,,,,,100.0
2024,Design and Technology (Product Design),9080,2-<3,,,,18.18,27.27,18.18,36.36
2024,Design and Technology (Product Design),9080,3-<4,,,1.9,7.62,27.14,30.95,32.38
2024,Design and Technology (Product Design),9080,4-<5,,0.18,6.36,21.75,35.99,26.32,9.4
2024,Design and Technology (Product Design),9080,5-<6,0.09,2.81,19.73,38.37,26.53,10.16,2.31
2024,Design and Technology (Product Design),9080,6-<7,2.6,12.06,39.12,31.91,11.57,2.11,0.64
2024,Design and Technology (Product Design),9080,7-<8,10.36,30.72,42.23,13.96,2.3,0.36,0.07
2024,Design and Technology (Product Design),9080,8-<9,39.69,36.21,20.19,3.34,0.42,0.14,
2024,Design and Technology (Product Design),9080,9>=,75.0,18.75,6.25,,,,
2024,Design and Technology (Product Design),9080,Unknown prior,5.45,12.12,27.27,24.85,15.76,11.52,3.03
2024,Design and Technology (Product Design),9080,All,6.83,12.99,26.37,25.46,16.97,8.24,3.13
2025,Biology,1010,<1,,,,,100.0,,
2025,Biology,1010,1-<2,,,,,33.33,,66.67
2025,Biology,1010,2-<3,,,7.69,,7.69,15.38,69.23
2025,Biology,1010,3-<4,0.76,1.53,3.82,7.63,6.11,24.43,55.73
2025,Biology,1010,4-<5,,0.82,3.36,11.21,24.25,32.35,28.02
2025,Biology,1010,5-<6,0.21,2.0,9.62,24.03,31.15,23.5,9.49
2025,Biology,1010,6-<7,0.67,8.13,23.96,32.94,22.72,9.41,2.17
2025,Biology,1010,7-<8,5.65,29.64,35.38,20.17,7.14,1.77,0.25
2025,Biology,1010,8-<9,36.33,42.56,16.45,3.65,0.75,0.21,0.04
2025,Biology,1010,9>=,69.19,21.44,5.91,2.44,0.26,0.64,0.13
2025,Biology,1010,Unknown prior,9.1,18.47,21.51,18.91,14.46,10.29,7.26
2025,Biology,1010,All,9.65,19.73,22.47,20.98,15.15,8.52,3.5
2025,Chemistry,1110,<1,,,,100.0,,,
2025,Chemistry,1110,1-<2,,,,50.0,50.0,,
2025,Chemistry,1110,2-<3,,,9.09,27.27,9.09,18.18,36.36
2025,Chemistry,1110,3-<4,,3.74,3.74,13.08,13.08,27.1,39.25
2025,Chemistry,1110,4-<5,0.17,1.66,6.13,13.49,22.02,28.48,28.06
2025,Chemistry,1110,5-<6,0.25,3.61,11.52,21.8,27.23,23.23,12.36
2025,Chemistry,1110,6-<7,0.69,8.84,23.53,28.03,22.94,12.18,3.79
2025,Chemistry,1110,7-<8,4.76,28.11,33.31,20.51,9.36,3.16,0.79
2025,Chemistry,1110,8-<9,27.59,45.48,19.53,5.51,1.48,0.35,0.06
2025,Chemistry,1110,9>=,56.93,32.87,6.61,2.85,0.64,,0.09
2025,Chemistry,1110,Unknown prior,13.22,22.51,20.8,17.14,11.76,9.35,5.23
2025,Chemistry,1110,All,9.99,23.72,23.14,18.27,13.27,7.99,3.62
2025,Physics,1210,<1,33.33,,,66.67,,,
2025,Physics,1210,2-<3,,10.0,,10.0,10.0,50.0,20.0
2025,Physics,1210,3-<4,,0.88,3.51,14.04,14.04,27.19,40.35
2025,Physics,1210,4-<5,0.25,1.17,5.25,13.09,24.27,29.36,26.61
2025,Physics,1210,5-<6,0.37,3.1,10.43,20.16,27.87,25.89,12.18
2025,Physics,1210,6-<7,1.29,10.4,21.61,28.46,21.96,12.68,3.59
2025,Physics,1210,7-<8,8.04,28.81,29.69,20.53,9.32,2.99,0.61
2025,Physics,1210,8-<9,35.58,39.39,17.55,5.74,1.33,0.36,0.05
2025,Physics,1210,9>=,60.45,28.97,7.1,2.09,0.97,0.42,
2025,Physics,1210,Unknown prior,13.45,21.91,20.2,18.06,12.25,8.21,5.93
2025,Physics,1210,All,12.1,21.43,20.58,18.67,13.97,9.24,4.01
2025,Electronics,1730,3-<4,,7.69,7.69,15.38,23.08,30.77,15.38
2025,Electronics,1730,4-<5,0.83,0.83,7.44,25.62,26.45,22.31,16.53
2025,Electronics,1730,5-<6,2.73,12.57,22.4,30.6,19.13,9.84,2.73
2025,Electronics,1730,6-<7,13.69,36.31,25.0,13.69,7.14,1.79,2.38
2025,Electronics,1730,7-<8,41.76,39.56,10.99,7.69,,,
2025,Electronics,1730,8-<9,79.07,20.93,,,,,
2025,Electronics,1730,9>=,66.67,33.33,,,,,
2025,Electronics,1730,Unknown prior,20.0,10.0,10.0,20.0,30.0,10.0,
2025,Electronics,1730,All,16.61,21.04,16.46,19.15,13.45,8.39,4.91
2025,Environmental Science,1750,2-<3,,,,,,50.0,50.0
2025,Environmental Science,1750,3-<4,,,,2.44,17.07,34.15,46.34
2025,Environmental Science,1750,4-<5,,0.36,3.2,16.73,32.74,32.03,14.95
2025,Environmental Science,1750,5-<6,0.28,1.1,15.68,34.39,31.09,13.48,3.99
2025,Environmental Science,1750,6-<7,2.6,9.01,29.46,38.3,15.08,4.51,1.04
2025,Environmental Science,1750,7-<8,12.37,32.78,33.44,18.06,2.34,0.67,0.33
2025,Environmental Science,1750,8-<9,43.02,30.23,22.09,4.65,,,
2025,Environmental Science,1750,9>=,75.0,25.0,,,,,
2025,Environmental Science,1750,Unknown prior,,7.14,26.19,7.14,26.19,16.67,16.67
2025,Environmental Science,1750,All,4.57,9.18,20.54,28.17,20.88,11.56,5.1
2025,Geology,1770,2-<3,,,,,,100.0,
2025,Geology,1770,3-<4,,,,7.14,28.57,35.71,28.57
2025,Geology,1770,4-<5,,0.89,9.82,16.96,32.14,33.93,6.25
2025,Geology,1770,5-<6,1.57,5.88,21.57,27.84,29.41,10.98,2.75
2025,Geology,1770,6-<7,2.87,20.43,29.03,29.39,13.62,4.3,0.36
2025,Geology,1770,7-<8,13.94,44.85,25.45,12.12,3.03,0.61,
2025,Geology,1770,8-<9,62.16,28.38,9.46,,,,
2025,Geology,1770,9>=,100.0,,,,,,
2025,Geology,1770,Unknown prior,,9.09,9.09,36.36,36.36,9.09,
2025,Geology,1770,All,9.09,18.51,21.58,21.58,17.74,9.42,2.08
2025,Mathematics,2210,<1,16.67,,16.67,16.67,33.33,16.67,
2025,Mathematics,2210,1-<2,,,,50.0,50.0,,
2025,Mathematics,2210,2-<3,3.57,,3.57,25.0,21.43,10.71,35.71
2025,Mathematics,2210,3-<4,0.72,3.97,8.66,10.83,16.61,27.8,31.41
2025,Mathematics,2210,4-<5,0.76,4.12,8.6,17.72,23.52,24.44,20.85
2025,Mathematics,2210,5-<6,1.2,8.39,15.47,22.96,25.84,17.27,8.87
2025,Mathematics,2210,6-<7,4.13,17.84,24.06,25.9,17.67,7.73,2.68
2025,Mathematics,2210,7-<8,15.57,33.8,26.0,15.55,6.59,1.95,0.54
2025,Mathematics,2210,8-<9,45.79,36.59,12.44,3.77,1.09,0.23,0.08
2025,Mathematics,2210,9>=,65.53,26.74,5.36,1.49,0.57,0.26,0.05
2025,Mathematics,2210,Unknown prior,20.47,23.74,19.16,15.76,10.18,6.5,4.18
2025,Mathematics,2210,All,17.93,25.13,19.75,16.49,11.55,6.14,3.02
2025,Mathematics (Statistics),2260,3-<4,,,,31.82,9.09,18.18,40.91
2025,Mathematics (Statistics),2260,4-<5,0.49,3.45,11.33,17.73,30.54,24.14,12.32
2025,Mathematics (Statistics),2260,5-<6,0.94,7.55,20.05,29.25,23.11,13.68,5.42
2025,Mathematics (Statistics),2260,6-<7,2.75,17.18,28.18,29.9,15.46,4.81,1.72
2025,Mathematics (Statistics),2260,7-<8,13.58,38.27,20.99,13.58,8.64,4.94,
2025,Mathematics (Statistics),2260,8-<9,57.89,31.58,5.26,5.26,,,
2025,Mathematics (Statistics),2260,Unknown prior,,9.09,18.18,22.73,18.18,18.18,13.64
2025,Mathematics (Statistics),2260,All,3.3,12.05,19.96,25.52,20.53,12.52,6.12
2025,Mathematics (Further),2330,<1,100.0,,,,,,
2025,Mathematics (Further),2330,2-<3,,,,,,,100.0
2025,Mathematics (Further),2330,3-<4,4.76,9.52,4.76,28.57,9.52,19.05,23.81
2025,Mathematics (Further),2330,4-<5,3.6,11.51,17.99,20.14,20.14,11.51,15.11
2025,Mathematics (Further),2330,5-<6,2.99,13.9,21.3,20.39,18.57,14.03,8.83
2025,Mathematics (Further),2330,6-<7,7.39,20.76,27.69,22.35,12.28,6.93,2.59
2025,Mathematics (Further),2330,7-<8,18.91,31.58,27.24,13.19,6.05,2.3,0.72
2025,Mathematics (Further),2330,8-<9,44.77,33.8,15.16,4.37,1.42,0.36,0.12
2025,Mathematics (Further),2330,9>=,63.29,26.93,7.37,1.57,0.6,0.12,0.12
2025,Mathematics (Further),2330,Unknown prior,29.8,28.75,19.52,11.54,5.04,3.04,2.31
2025,Mathematics (Further),2330,All,30.08,29.72,20.5,10.47,5.3,2.65,1.28
2025,Computer Studies / Computing,2610,2-<3,,,,,33.33,33.33,33.33
2025,Computer Studies / Computing,2610,3-<4,,,0.67,6.04,22.82,25.5,44.97
2025,Computer Studies / Computing,2610,4-<5,0.08,0.85,4.7,15.7,27.64,29.87,21.17
2025,Computer Studies / Computing,2610,5-<6,0.1,2.63,13.08,27.34,31.0,19.11,6.74
2025,Computer Studies / Computing,2610,6-<7,0.7,10.98,29.96,31.36,18.47,7.0,1.53
2025,Computer Studies / Computing,2610,7-<8,4.91,33.67,37.48,16.88,5.42,1.26,0.4
2025,Computer Studies / Computing,2610,8-<9,31.14,48.93,16.4,2.83,0.47,0.23,
2025,Computer Studies / Computing,2610,9>=,64.86,30.41,3.38,1.35,,,
2025,Computer Studies / Computing,2610,Unknown prior,5.8,15.94,19.48,19.48,19.97,12.72,6.6
2025,Computer Studies / Computing,2610,All,6.47,19.34,23.58,21.13,16.18,9.23,4.08
2025,Business Studies:Single,3210,<1,,33.33,33.33,33.33,,,
2025,Business Studies:Single,3210,1-<2,,,,,,50.0,50.0
2025,Business Studies:Single,3210,2-<3,,,3.77,13.21,32.08,15.09,35.85
2025,Business Studies:Single,3210,3-<4,0.55,0.82,5.49,20.22,30.56,27.45,14.91
2025,Business Studies:Single,3210,4-<5,0.22,1.9,15.42,33.91,30.52,13.45,4.59
2025,Business Studies:Single,3210,5-<6,1.25,7.05,32.61,36.53,17.18,4.42,0.94
2025,Business Studies:Single,3210,6-<7,5.09,19.66,44.66,23.72,5.54,1.04,0.3
2025,Business Studies:Single,3210,7-<8,17.21,33.6,38.45,8.77,1.52,0.35,0.1
2025,Business Studies:Single,3210,8-<9,37.69,37.11,21.42,3.09,0.57,0.11,
2025,Business Studies:Single,3210,9>=,35.29,27.45,17.65,11.76,7.84,,
2025,Business Studies:Single,3210,Unknown prior,3.2,11.55,28.16,28.54,17.57,7.28,3.69
2025,Business Studies:Single,3210,All,4.47,12.58,31.9,28.53,15.18,5.48,1.86
2025,Art and Design,3510,2-<3,,2.94,2.94,11.76,44.12,26.47,11.76
2025,Art and Design,3510,3-<4,1.14,2.65,21.59,31.44,21.97,14.77,6.44
2025,Art and Design,3510,4-<5,2.2,7.35,31.72,34.58,17.45,5.6,1.1
2025,Art and Design,3510,5-<6,6.52,14.86,35.36,28.77,11.09,2.54,0.87
2025,Art and Design,3510,6-<7,16.9,28.29,34.83,15.5,3.31,0.88,0.29
2025,Art and Design,3510,7-<8,35.93,30.9,25.5,6.66,0.63,0.25,0.13
2025,Art and Design,3510,8-<9,58.17,29.92,10.25,1.11,0.55,,
2025,Art and Design,3510,9>=,75.0,16.67,8.33,,,,
2025,Art and Design,3510,Unknown prior,16.33,25.85,29.93,15.65,6.12,4.76,1.36
2025,Art and Design,3510,All,16.82,20.09,30.17,20.6,8.43,2.93,0.95
2025,Art and Design (Graphics),3550,1-<2,,,,,50.0,50.0,
2025,Art and Design (Graphics),3550,2-<3,,,16.67,26.67,36.67,13.33,6.67
2025,Art and Design (Graphics),3550,3-<4,1.4,3.63,22.63,37.15,20.39,12.29,2.51
2025,Art and Design (Graphics),3550,4-<5,3.4,10.92,33.54,35.28,12.18,3.8,0.87
2025,Art and Design (Graphics),3550,5-<6,8.17,17.87,40.67,23.6,7.62,1.83,0.24
2025,Art and Design (Graphics),3550,6-<7,19.04,29.29,37.81,11.46,1.89,0.26,0.26
2025,Art and Design (Graphics),3550,7-<8,35.81,36.57,22.1,4.95,0.57,,
2025,Art and Design (Graphics),3550,8-<9,65.38,23.08,9.23,1.54,0.77,,
2025,Art and Design (Graphics),3550,9>=,53.85,30.77,15.38,,,,
2025,Art and Design (Graphics),3550,Unknown prior,17.42,20.45,37.12,15.15,8.33,1.52,
2025,Art and Design (Graphics),3550,All,13.43,19.73,34.16,21.98,7.63,2.51,0.55
2025,Art and Design (Photography),3570,<1,,,,50.0,,50.0,
2025,Art and Design (Photography),3570,1-<2,,,,16.67,66.67,16.67,
2025,Art and Design (Photography),3570,2-<3,1.37,1.37,16.44,31.51,28.77,16.44,4.11
2025,Art and Design (Photography),3570,3-<4,0.87,4.06,22.53,35.11,24.08,10.25,3.09
2025,Art and Design (Photography),3570,4-<5,3.52,10.05,33.09,33.33,14.29,4.79,0.92
2025,Art and Design (Photography),3570,5-<6,9.99,17.11,39.76,24.29,6.92,1.64,0.3
2025,Art and Design (Photography),3570,6-<7,20.24,26.47,37.07,12.87,2.78,0.34,0.23
2025,Art and Design (Photography),3570,7-<8,36.36,29.15,26.18,6.58,1.41,0.16,0.16
2025,Art and Design (Photography),3570,8-<9,62.77,22.63,12.41,2.19,,,
2025,Art and Design (Photography),3570,9>=,66.67,16.67,5.56,11.11,,,
2025,Art and Design (Photography),3570,Unknown prior,20.65,21.46,27.53,20.65,6.88,2.43,0.4
2025,Art and Design (Photography),3570,All,11.69,16.15,33.65,24.55,9.9,3.27,0.78
2025,Art and Design (Textiles),3650,1-<2,,,,50.0,,,50.0
2025,Art and Design (Textiles),3650,2-<3,8.33,,,33.33,33.33,16.67,8.33
2025,Art and Design (Textiles),3650,3-<4,1.1,7.18,25.97,36.46,17.68,8.84,2.76
2025,Art and Design (Textiles),3650,4-<5,4.78,12.8,35.44,30.38,10.83,4.78,0.98
2025,Art and Design (Textiles),3650,5-<6,11.28,20.56,36.93,22.95,6.49,1.6,0.2
2025,Art and Design (Textiles),3650,6-<7,21.4,26.08,36.41,12.92,2.95,0.25,
2025,Art and Design (Textiles),3650,7-<8,34.14,34.87,25.42,4.12,1.45,,
2025,Art and Design (Textiles),3650,8-<9,60.45,27.61,8.96,2.99,,,
2025,Art and Design (Textiles),3650,9>=,14.29,28.57,57.14,,,,
2025,Art and Design (Textiles),3650,Unknown prior,18.81,25.74,31.68,17.82,5.94,,
2025,Art and Design (Textiles),3650,All,16.77,21.65,33.12,19.58,6.34,2.07,0.47
2025,Art and Design (3d Studies),3670,1-<2,,,,,,50.0,50.0
2025,Art and Design (3d Studies),3670,2-<3,,12.5,,37.5,50.0,,
2025,Art and Design (3d Studies),3670,3-<4,2.4,3.2,20.8,32.0,24.8,13.6,3.2
2025,Art and Design (3d Studies),3670,4-<5,3.06,10.2,28.37,32.86,16.33,7.55,1.63
2025,Art and Design (3d Studies),3670,5-<6,9.71,13.87,34.67,26.07,12.62,2.5,0.55
2025,Art and Design (3d Studies),3670,6-<7,17.97,23.59,35.03,16.33,4.9,2.18,
2025,Art and Design (3d Studies),3670,7-<8,36.4,26.8,26.0,8.0,1.6,1.2,
2025,Art and Design (3d Studies),3670,8-<9,64.21,21.05,12.63,2.11,,,
2025,Art and Design (3d Studies),3670,9>=,66.67,33.33,,,,,
2025,Art and Design (3d Studies),3670,Unknown prior,22.03,18.64,28.81,16.95,8.47,5.08,
2025,Art and Design (3d Studies),3670,All,15.56,16.73,30.35,22.22,10.46,3.93,0.73
2025,Art and Design (Critical Studies),3680,1-<2,,,,50.0,50.0,,
2025,Art and Design (Critical Studies),3680,2-<3,,,,33.33,33.33,33.33,
